lat(degree),lon(degree),time(h),sntmt_AFINN(_),sntmt_NLTK_comp(_),sntmt_NLTK_neg(_),sntmt_NLTK_neu(_),sntmt_NLTK_pos(_),temp(C),temp_max(C),temp_min(C),humidity(%),pressure(hPa),sky(__),sunrise(h),sunset(h),wind(m/s),wind_deg(degree),cloudiness(%),rain_3h(mm),snow_3h(mm)
40.6643,-73.9385,20.0047222222,-3,-0.4767,0.307,0.693,0.0,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
33.5722,-112.088,17.005,0,0.0,0.0,1.0,0.0,38.09,39,37,18,1006,Clear,8.95,22.0333333333,2.1,240,1,nan,nan
35.2087,-80.8307,20.005,0,-0.27115,0.14,0.86,0.0,25.84,28,24,65,1014,Clouds,6.83333333333,19.9833333333,3.1,50,20,nan,nan
34.0194,-118.4108,17.0052777778,0,0.0,0.0,1.0,0.0,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
36.1718,-86.785,19.0055555556,0,0.0,0.0,1.0,0.0,26.4,28,25,47,1015,Clear,7.21666666667,20.4,3.6,10,1,nan,nan
34.0194,-118.4108,17.0058333333,2,0.2162,0.0,0.892333333333,0.107666666667,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
35.2087,-80.8307,20.0069444444,7,0.1719,0.195,0.622,0.183,25.84,28,24,65,1014,Clouds,6.83333333333,19.9833333333,3.1,50,20,nan,nan
29.7805,-95.3863,19.0069444444,1,0.3818,0.0,0.833,0.167,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
34.0194,-118.4108,17.0072222222,0,0.0,0.0,1.0,0.0,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
40.6643,-73.9385,20.0083333333,0,0.0,0.0,1.0,0.0,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
30.337,-81.6613,19.0083333333,1,0.1868,0.0,0.874,0.126,26.58,29,24,94,1011,Rain,6.98333333333,19.95,3.31,141.502,75,nan,nan
40.0094,-75.1333,20.0091666667,-4,-0.5423,0.467,0.533,0.0,23.67,26,21,56,1015,Clear,6.36666666667,19.7,2.06,314.002,1,nan,nan
47.6205,-122.3509,17.01,1,0.4019,0.0,0.863,0.137,20.7,22,19,43,1019,Clouds,9.31666666667,23.0333333333,2.1,None,20,nan,nan
35.4671,-97.5137,19.01,0,0.0,0.0,1.0,0.0,28.67,29,28,61,1014,Clear,7.95,21.1,3.1,110,1,nan,nan
45.537,-122.65,17.01,2,0.4588,0.0,0.8,0.2,23.29,24,23,38,1017,Clouds,9.38333333333,23.0,4.1,350,20,nan,nan
36.2277,-115.264,17.0105555556,-8,-0.4037,0.2745,0.7255,0.0,32,32,32,31,1011,Rain,9.1,22.2833333333,4.1,80,0,0.89,nan
41.8376,-87.6818,19.0105555556,2,0.4019,0.0,0.748,0.252,19.55,21,18,68,1020,Clear,7.15,20.5666666667,5.1,30,1,nan,nan
38.9041,-77.0171,20.0105555556,1,0.0,0.0,1.0,0.0,23.72,27,20,68,1015,Clouds,6.51666666667,19.8,2.61,300.502,40,nan,nan
41.8376,-87.6818,19.0105555556,0,0.0,0.0,1.0,0.0,19.55,21,18,68,1020,Clear,7.15,20.5666666667,5.1,30,1,nan,nan
39.7767,-86.1459,20.0113888889,0,0.0,0.0,1.0,0.0,23.23,25,21,60,1018,Clouds,7.1,20.4333333333,2.1,340,40,nan,nan
32.7795,-97.3463,19.0122222222,4,0.13345,0.0,0.935666666667,0.0643333333333,28.74,31,25,83,1011,Thunderstorm,7.98333333333,21.0333333333,2.6,10,1,nan,nan
35.4671,-97.5137,19.0122222222,-3,-0.2023,0.313,0.446,0.241,28.67,29,28,61,1014,Clear,7.95,21.1,3.1,110,1,nan,nan
29.7805,-95.3863,19.0125,0,0.4939,0.0,0.775,0.225,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
36.2277,-115.264,17.0127777778,4,0.5994,0.0,0.754,0.246,32,32,32,31,1011,Rain,9.1,22.2833333333,4.1,80,0,0.89,nan
29.7805,-95.3863,19.0130555556,8,0.7345,0.0,0.383,0.617,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
29.7805,-95.3863,19.0133333333,0,0.0,0.0,1.0,0.0,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
40.6643,-73.9385,20.0136111111,4,0.5859,0.0,0.345,0.655,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
42.383,-83.1022,20.0136111111,2,0.20095,0.0,0.919,0.081,17.56,18,17,55,1020,Rain,6.83333333333,20.2833333333,2.1,320,90,nan,nan
40.6643,-73.9385,20.0144444444,0,0.0,0.0,1.0,0.0,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
41.8376,-87.6818,19.015,4,0.5106,0.0,0.476,0.524,19.55,21,18,68,1020,Clear,7.15,20.5666666667,5.1,30,1,nan,nan
29.4724,-98.5251,19.015,0,0.0,0.0,1.0,0.0,29.5,31,28,74,1009,Thunderstorm,8.11666666667,21.05,6.7,120,75,nan,nan
40.6643,-73.9385,20.0155555556,0,0.0,0.0,1.0,0.0,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
32.7757,-96.7967,19.0161111111,0,0.0,0.0,1.0,0.0,28.8,31,25,62,1012,Thunderstorm,7.95,21.0,6.2,70,1,nan,nan
29.7805,-95.3863,19.0163888889,-1,0.12405,0.0,0.9475,0.0525,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
34.0194,-118.4108,17.0172222222,1,0.2023,0.0,0.847,0.153,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
32.8153,-117.135,17.0172222222,0,0.0,0.0,1.0,0.0,21.5,26,18,73,1011,Clouds,9.31666666667,22.35,3.6,310,90,nan,nan
40.6643,-73.9385,20.0175,0,0.0,0.0,1.0,0.0,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
29.7805,-95.3863,19.0177777778,0,0.0,0.0,1.0,0.0,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
40.0094,-75.1333,20.0180555556,0,0.0,0.0,1.0,0.0,23.67,26,21,56,1015,Clear,6.36666666667,19.7,2.06,314.002,1,nan,nan
35.4671,-97.5137,19.0186111111,0,0.0,0.0,1.0,0.0,28.67,29,28,61,1014,Clear,7.95,21.1,3.1,110,1,nan,nan
38.9041,-77.0171,20.0186111111,2,0.1806,0.0,0.924,0.076,23.72,27,20,68,1015,Clouds,6.51666666667,19.8,2.61,300.502,40,nan,nan
32.7757,-96.7967,19.0186111111,0,0.0,0.0,1.0,0.0,28.8,31,25,62,1012,Thunderstorm,7.95,21.0,6.2,70,1,nan,nan
38.9041,-77.0171,20.0191666667,3,0.21075,0.0,0.8795,0.1205,23.72,27,20,68,1015,Clouds,6.51666666667,19.8,2.61,300.502,40,nan,nan
41.8376,-87.6818,19.0194444444,3,0.6369,0.0,0.769,0.231,19.55,21,18,68,1020,Clear,7.15,20.5666666667,5.1,30,1,nan,nan
37.7751,-122.4193,17.0197222222,2,0.4215,0.0,0.811,0.189,22.76,29,18,47,1010,Clear,9.56666666667,22.8,3.6,210,1,nan,nan
41.8376,-87.6818,19.02,-9,-0.8255,0.277,0.723,0.0,19.55,21,18,68,1020,Clear,7.15,20.5666666667,5.1,30,1,nan,nan
40.6643,-73.9385,20.02,4,0.0948666666667,0.0,0.929333333333,0.0706666666667,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
42.332,-71.0202,20.0211111111,4,0.239233333333,0.0,0.818333333333,0.181666666667,22.01,24,20,72,1013,Clear,6.03333333333,19.4833333333,1.81,147.502,1,nan,nan
32.8153,-117.135,17.0211111111,0,0.4588,0.0,0.813,0.188,21.5,26,18,73,1011,Clouds,9.31666666667,22.35,3.6,310,90,nan,nan
